foodName,KorName
Neobiani,너비아니
Gomguk,곰탕
Naengguk,냉국
Kimchi,김치
Jajangmyeon,짜장면
Ramyeon,라면
Hoe,회
Namul,나물
Bulgogi,불고기
Galbi,갈비
Dak galbi,닭갈비
Samgyeopsal,삼겹살
Makchang gui,막창
Gobchang,곱창
Saengseon gui,생선구이
jogae gui,조개구이
Deodeok gui,더덕구이
Beoseot gui,버섯구이
Gim,김
Galbijjim,갈비찜
Andong jjimdak,안동찜닭
Agujjim,아구찜
Jeonbokjjim,전복찜
Gyeran jjim,계란찜
Hobakjeon,호박전
Dubujeon,두부전
Sannakji,산낙지
Yukhoe,육회
Sukhoe,숙회
Ganghoe,강회
Namul,나물
Japchae,잡채
Tteokguk,떡국
Haejangguk,해장국
Miyeok guk,미역국
Manduguk,만두국
Galbitang,갈비탕
Oritang,오리탕
Samgyetang,삼계탕
Seolleongtang,설렁탕
Maeuntang,매운탕
Gamjatang,감자탕
Daktoritang,닭도리탕
Chueotang,추어탕
Doenjang jjigae,된장찌개
Cheonggukjang,청국장
Kimchi jjigae,김치찌개
Sundubu jjigae,순두부찌개
Kongbiji jjigae,콩비지찌개
Saeujeot jjigae,새우젓찌개
Budae jjigae,부대찌개
Sinseollo,신선로
Gopchang jeongol,곱창전골
Bibimbap,비빔밥
Boribap,보리밥
Nurungji,누룽지
Ogokbap,오곡밥
Patbap,팥밥
Kongnamulbap,콩나물밥
Kimchi bokkeumbap,김치볶음밥
Ggakdugi,깍두기
Baek kimchi,백김치
Nabak kimchi,나박김치
Dongchimi,동치미
Kongnamulbap,콩나물밥
Chwinamul,취나물
Shigeunchi,시금치
Kohsarii,고사리
Hobaknamul,호박나물
Kongjaban,콩자반
Dureubnamul,두릅나물
Ggaennip,깻잎
Naengmyeon,냉면
Kalguksu,칼국수
Sujebi,수제비
Makguksu,막국수
Bibim guksu,비빔국수
Janchi guksu,잔치국수
Jjapaguri,짜파구리
Kimbap,김밥
Buchimgae,부침개
Aehobakbuchimgae,애호박부침개
Pajeon,파전
Bindaetteok,빈대떡
Kimchibuchimgae,김치부침개
Mineojeon,민어전
Daegujeon,대구전
Guljeon,굴전
Tteokbokki,떡볶이
Sundae,순대
Hotteok,가래떡
Hoppang,호빵
Beondegi,번데기
Bungeoppang,붕어빵
Gyeranppang,계란빵
dubu kimchi,두부김치
odeng,오뎅
Jokbal,족발
Songpyeon,송편
Yakshik,약식
Chapssaltteok,찹쌀떡
Chinese noodles,Chinese noodles
Chow mein,Chow mein
Noodle soup,Noodle soup
Biangbiang noodles,Biangbiang noodles
Fried Rice,새우볶음밥
Braised pork belly,Braised pork belly
Braised pork belly,Braised pork belly
Sweet and sour pork,Sweet and sour pork
Char siu,차슈
Kung Pao chicken,Kung Pao chicken
Peking Duck,베이징덕
Soy egg,간장계란
Tea egg,Tea egg
Fujian red wine chicken,Fujian red wine chicken
Buddha's delight,Buddha's delight
Xiaolongbao,Xiaolongbao
Baozi,Baozi
Dim sum,Dim sum
Jiaozi,Jiaozi
Tangyuan,Tangyuan
Cong you bing,Cong you bing
Shaobing,Shaobing
Congee,Congee
Oyster omelette,Oyster omelette
Popiah,Popiah
Fried rice in Fujian style,Fried rice in Fujian style
Wenchang chicken,Wenchang chicken
Stuffed tofu,Stuffed tofu
Hot dry noodles	,Hot dry noodles	
Dandan noodles,Dandan noodles
Chongqing spicy deep-fried chicken,Chongqing spicy deep-fried chicken
Fuqi Feipian,Fuqi Feipian
Sichuan hotpot,Sichuan hotpot
Mapo tofu,Mapo tofu
Shuizhu,Shuizhu
Guokui,Guokui
Noodles with tomato egg sauce,Noodles with tomato egg sauce
Shacha noodles,Shacha noodles
Chongqing noodles,Chongqing noodles
Curry rice,Curry rice
Hayashi rice,Hayashi rice
Kamameshi,Kamameshi
Katemeshi,Katemeshi
Mochi,Mochi
Ochazuke,Ochazuke
Okowa,Okowa
Omurice,Omurice
Onigiri,Onigiri
Sekihan,Sekihan
Takikomi gohan,Takikomi gohan
Tamago kake gohan,Tamago kake gohan
Tenmusu,Tenmusu
Okayu,Okayu
Gyūdon,규동
Katsudon,가츠동
Oyakodon,오야꼬동
Tekkadon,Tekkadon
Tendon,텐동
Unadon,Unadon
Wappameshi,Wappameshi
Nigirizushi,Nigirizushi
Chirashizushi ,Chirashizushi 
Makizushi,Makizushi
Oshizushi,Oshizushi
Soba,소바
Zaru soba,자루소바
Udon,우동
Ramen,일본라멘
Champon,짬뽕
Hiyashi chūka,Hiyashi chūka
Mazesoba,Mazesoba
Yaki soba,야끼소바
Yaki udon,야끼우동
Curry bread,Curry bread
Anpan,Anpan
Melon-pan,메론빵
Yakisoba-pan,야끼빵
Korokke-pan,고로케
Katsu-sando,가츠산도
Agemono,Agemono
Karaage,Karaage
Nanbanzuke,Nanbanzuke
Korokke,Korokke
Kushikatsu,Kushikatsu
Satsuma-age,Satsuma-age
Tempura,Tempura
Tonkatsu,Tonkatsu
Gyoza,Gyoza
Kushiyaki,Kushiyaki
Motoyaki,Motoyaki
Okonomiyaki,Okonomiyaki
Takoyaki,Takoyaki
Teriyaki,Teriyaki
Unagi,Unagi
Yakiniku,Yakiniku
Horumonyaki,Horumonyaki
Yakitori,Yakitori
Yakizakana,Yakizakana
Motsunabe,Motsunabe
Shabu-shabu,Shabu-shabu
Sukiyaki,Sukiyaki
Chirinabe,Chirinabe
Chigenabe,Chigenabe
Oden,오뎅
Nikujaga,Nikujaga
Sōki,Sōki
Sashimi,Sashimi
Miso soup,미소된장국
Ikura,Ikura
Tarako,Tarako
Shiokara,Shiokara
Tsukemono,Tsukemono
Tsukudani,Tsukudani
Sunomono,Sunomono
Bento,벤또
Chawan mushi,Chawan mushi
Edamame,Edamame
Nattō,Nattō
Osechi,Osechi
Khao kan chin,Khao kan chin
Khao khluk kapi,Khao khluk kapi
Khao man gai,Khao man gai
Khao soi,Khao soi
Kuai-tiao rat na,Kuai-tiao rat na
Phat si-io,Phat si-io
Mi krop,Mi krop
Chim chum,Chim chum
Mu kratha,Mu kratha
Kaeng khae,Kaeng khae
Kaeng pa,Kaeng pa
Kaeng som,Kaeng som
Kaeng tai pla,Kaeng tai pla
Tom khlong,Tom khlong
Tom yam,Tom yam
Kung chae nampla,Kung chae nampla
Mu nam tok,Mu nam tok
Yam khai dao,Yam khai dao
Kai phat khing,Kai phat khing
Bánh hỏi,Bánh hỏi
Bánh canh,Bánh canh
Bún chả,Bún chả
Cao lầu,Cao lầu
Bún ốc,Bún ốc
Bún riêu,Bún riêu
Bún Thịt Nướng,Bún Thịt Nướng
Chicken Marengo,Chicken Marengo
Hachis Parmentier,Hachis Parmentier
