foodName,Type,Country,Region,Ingredient,Calorie,imgUrl,Description
Neobiani,Korea,Korea,Seoul,Beef,75 ,//upload.wikimedia.org/wikipedia/commons/thumb/5/59/Neobiani.jpg/220px-Neobiani.jpg,"Neobiani (너비아니) or Nubianie refers to thinly sliced, marinated, and grilled beef.[2] In Korean, the word neobiani means that the beef is sliced into broad sections.[3]"
Gomguk,Beef bone soup,Korea,,"Beef bones, oxtail, head, trotters, knee cartilage, tripe, intestines, and/or brisket",,//upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Kkori-gomtang.jpg/220px-Kkori-gomtang.jpg,"Gomguk (곰국),[1] gomtang[2] (곰탕), or beef bone soup[2] refers to a soup in Korean cuisine made with various beef parts such as ribs, oxtail, brisket, ox's head or ox bones by slow simmering on a low flame.[3] The broth tends to have a milky color with a rich and hearty taste.[4]"
Naengguk,Chilled soup,Korea,,,,//upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Korean_cold_cucumber_soup-Oi_naengguk-01.jpg/220px-Korean_cold_cucumber_soup-Oi_naengguk-01.jpg,"Naengguk[1] (냉국) or chilled soup[1] refers to all kinds of cold guk (국, soups) in Korean cuisine, mainly eaten in summer. It is so called changuk, which literally means ""cold soup"" in pure Korean, while the term naengguk is a combination of a hanja word and a pure Korean word with the same meaning.[2]"
Kimchi,Banchan,Korea,Korea,Various vegetables including napa cabbage and Korean radish,,//upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Various_kimchi.jpg/220px-Various_kimchi.jpg,
Jajangmyeon,Jjajangmyeon,South Korea[1],East Asia,"cumian, chunjang, meat, vegetables, sometimes seafood",,//upload.wikimedia.org/wikipedia/commons/thumb/7/78/Jajangmyeon.jpg/220px-Jajangmyeon.jpg,"Jajangmyeon (자장면) or jjajangmyeon (짜장면) is a Korean noodle dish topped with a thick sauce made of chunjang, diced pork, and vegetables.[2]  Variants of the dish use seafood, or other meats."
Ramyeon,Noodle,Japan,"Originally East Asia, Southeast Asia, and South Asia,[1] now found in most parts of the world","Dried or precooked noodle, seasoning",,//upload.wikimedia.org/wikipedia/commons/thumb/7/73/Mama_instant_noodle_block.jpg/220px-Mama_instant_noodle_block.jpg,
Hoe,,,,,,//upload.wikimedia.org/wikipedia/en/thumb/1/1b/Semi-protection-shackle.svg/20px-Semi-protection-shackle.svg.png,
Namul,나물,,,,,//upload.wikimedia.org/wikipedia/commons/thumb/2/28/KOCIS_Korea_President_Park_Arirang_Concert_07_%2810552593495%29.jpg/220px-KOCIS_Korea_President_Park_Arirang_Concert_07_%2810552593495%29.jpg,Soups & stews
Bulgogi,Gui,Korea,East Asia,Beef,150 ,//upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Bulgogi_2.jpg/220px-Bulgogi_2.jpg,"Bulgogi (불고기; /bʊlˈɡoʊɡiː/ bool-GOH-gee;[2]  from Korean bul-gogi [pul.ɡo.ɡi]), literally ""fire meat"", is a gui (구이; Korean-style grilled or roasted dish) made of thin, marinated slices of beef or pork grilled on a barbecue or on a stove-top griddle. It is also often stir-fried in a pan in home cooking. Sirloin, rib eye or brisket are frequently used cuts of beef for the dish. The dish originated from northern areas of the Korean Peninsula, but is a very popular dish in South Korea, where it can be found anywhere from upscale restaurants to local supermarkets as pan-ready kits.[3]"
Galbi,"Galbi-gui, grilled ribs",Korea,East Asia,Beef short ribs or pork spare ribs,,//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Galbi_with_bamboo_leaves.jpg/220px-Galbi_with_bamboo_leaves.jpg,"Galbi[1] (갈비), galbi-gui[1] (갈비구이), or grilled ribs[1] is a type of gui (grilled dish) in Korean cuisine. ""Galbi"" is the Korean word for ""rib"", and the dish is usually made with beef short ribs. When pork spareribs or another meat is used instead, the dish is named accordingly. Galbi is served raw, then cooked on tabletop grills usually by the diners themselves.[2] The dish may be marinated in a sweet and savory sauce usually containing soy sauce, garlic, and sugar. Both non-marinated and marinated galbi are often featured in Korean barbecue.[3]"
